Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN
2022 RAM 1500 Limited,"$69,855",801 mi.,Bright White Clearcoat,Black,Four-wheel Drive,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFHT3NN453854,2023-04-30 09:10:28.832344
2023 Honda Accord Hybrid Sport,"$33,445",10 mi.,Urban Gray,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,1HGCY2F57PA005190,2023-04-30 09:10:32.567978
2023 Honda CR-V Hybrid Sport Touring,"$39,845",10 mi.,Meteorite Gray Metallic,–,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H9XPH801720,2023-04-30 09:10:35.805811
2023 Toyota Highlander L,"$39,093",–,Wind Chill Pearl,Graphite,Front-wheel Drive,Gasoline,Automatic,2.4L I4 16V PDI DOHC Turbo,5TDKDRAHXPS032970,2023-04-30 09:10:39.542203
2023 GMC Canyon 4WD Elevation,"$44,320",3 mi.,Summit White,Jet Black,Four-wheel Drive,Gasoline,Automatic,Turbocharged Gas I4 2.7L/,1GTP6BEK1P1131378,2023-04-30 09:10:43.456308
2023 Kia Sportage X-Line,"$34,555",18 mi.,Jungle Green,Black,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V PDI DOHC,5XYK6CAF0PG120297,2023-04-30 09:10:46.937812
2023 Mazda CX-5 2.5 S Premium,"$35,105",3 mi.,Soul Red Crystal Metallic,Parchment,All-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFBDM7P0216669,2023-04-30 09:10:51.008527
2023 Mazda Mazda3 2.5 Turbo AWD,"$34,685",4 mi.,Machine Gray Metallic,Beige,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V GDI DOHC Turbo,JM1BPBJYXP1609492,2023-04-30 09:10:53.753357
2023 Ford Transit-250 Base,"$48,215",9 mi.,Oxford White,Gray,Rear-wheel Drive,E85 Flex Fuel,10-Speed Automatic with Overdrive,3.5L V6 24V PDI DOHC Flexible Fuel,1FTBR1C85PKA24024,2023-04-30 09:10:56.078480
2023 Ford Bronco Outer Banks Advanced,"$49,475",–,Race Red,Black Onyx,Four-wheel Drive,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,1FMEE5DP5PLB15788,2023-04-30 09:10:59.116738
2023 BMW iX xDrive50,"$99,195",11 mi.,Storm Bay Metallic,Black,All-wheel Drive,Electric,Automatic,Electric,WB523CF07PCM96766,2023-04-30 09:11:02.312636
2023 BMW M8 Competition,"$141,995",17 mi.,Black Sapphire Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,WBSAE0C04PCM77906,2023-04-30 09:11:06.158655
2019 BMW 440 Gran Coupe i xDrive,"$34,988","29,996 mi.",Black Sapphire Metallic,Black / Dark Oyster,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA4J7C50KBM74503,2023-04-30 09:11:09.610880
2023 BMW M5 Base,"$128,045",11 mi.,Black Sapphire Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,WBS83CH02PCM99997,2023-04-30 09:11:12.857490
2023 Hyundai Elantra N Line,"$28,665",51 mi.,Onyx Black,Black,Front-wheel Drive,Gasoline,Automatic,1.6L I4 16V GDI DOHC Turbo,KMHLR4AF5PU520447,2023-04-30 09:11:15.800285
